,,,,,,,,,
,White,,,Black,,,Hispanic,,
Age,Total,Male,Female,Total,Male,Female,Total,Male,Female
<1,150,78,72,250,141,109,49,29,20
1-4,26,17,9,34,18,16,8,6,2
5-14,29,14,15,36,22,14,7,3,4
15-24,263,178,85,229,179,50,31,19,12
25-34,461,302,159,367,268,99,50,40,10
35-44,609,380,229,499,287,212,65,52,13
45-54,"1,801","1,076",725,"1,344",749,595,69,51,18
55-64,"3,561","2,229","1,332","2,300","1,351",949,100,58,42
65-74,"5,071","2,819","2,252","2,488","1,318","1,170",102,47,55
75-84,"7,718","3,883","3,835","2,444","1,120","1,324",111,45,66
≥85,"11,643","4,390","7,253","2,364",766,"1,598",149,52,97
unknown age,1,1,0,3,3,0,0,0,0
Total,"31,333","15,367","15,966","12,358","6,222","6,136",741,402,339
